Ash Lumber,90
Brass Ingot,24
Cedar Lumber,33
Clear Glass Lens,81
Clinker Bricks,90
Cobalt Ingot,12
Cobalt Joint Plate,180
Cobalt Nails,135
Cobalt Rivets,24
Cut Stone,294
Dark Chestnut Lumber,6
Electrum Ingot,45
Elm Lumber,180
Felt Lining,90
Firebricks,90
Granite,90
Holy Cedar Lumber,6
Horn Glue,90
Iron Nails,180
Linen Canvas,63
Linen Yarn,21
Marble,90
Mortar,90
Mudstone,90
Mythrite Ingot,51
Oak Lumber,90
Rose Gold Ingot,12
Rosewood Log,90
Spruce Log,90
Steel Hinge,33
Steel Ingot,63
Steel Nails,180
Varnish,45
Walnut Lumber,225
Yew Lumber,180
